,labels,content_clean,mapping
1420,1," it is logical, not evil,to be anti immigranthttps   t.co xevveonxio ",hate
1421,1,retweet  because some women are stupid ,hate
1422,0,"  myanmar does not want to see the  rohingya return home, so after destroying our homes they are now occupying our land.  persecution  humanrights  ucanews         ",not-hate
1423,1, closetheborders for  illegalimmigrants do it now. it might already be too late!we do not want more  nogozones in europe.we do not want more freeloaders and  mosques.we do not want  sharialaws and  burqa’a in our cities and on our streets. ,hate
1424,0, let us laugh at the hurting women in the church. our sisters in christ. so funny!! make fun of the hurting!! hysterical!! ,not-hate
1425,1,    wrong !  illegal immigrants make up 5  of the population so of course more americans commit crimes because its more citizens ! yet 34  of federal prisoners are illegals these does not include state prison ,hate
1426,1,"muslim migrants leave germany ""we did not get free stuff. nothing is free here""   free speech time    ",hate
1427,1,"alyssa milano, a brainless who are l, is not empower women in any way. women in science mathematics engineering and medicine are actually . ",hate
1428,1,... some cunt tagged my mom´s house   reason  43 i´m leaving this shit  hole for good ,hate
1429,0,when you see your friends after gettin some new ass ,not-hate
1430,0, you are hysterical. once you have decided to have your baby it has rights once it is born.  roaster ,not-hate
1431,0, i cannot imagine any woman who does not have a sexual assualt or rape or both even more than once. sad… ,not-hate
1432,0," press  news  blog  army  sex once a month, a man of action is highlighted. check it out today. ",not-hate
1433,0,press conference starting now at  with  refugee rights director    report released on plight of  rohingya refugees in  bangladesh on line now   myanmar  burma ,not-hate
1434,1,dozens of migrants intercepted off greek islands ,hate
1435,0,"i generally dismiss the articles decrying the backlash against refugees, because we have been doing a poor job at taking in actual refugees. canadian concerns over the inundation of economic migrants is a separate issue and are not invalid. ",not-hate
1436,1,"anti immigrant. anti  murdering, raping, thieving and lazy opportunistic 3rd world primitive migrant who has no right to be in the western world. sendthemback ",hate
1437,0,"this year 20,000 refugees are expected to arrive in the you.s. most are families with young children, in search of safety. together, we can help them rebuild their lives. it is simple. just visit this link and follow the steps below. âž ",not-hate
1438,0,  laughing out loud girl loudly crying faceloudly crying face he just do not want nobody to kno he had a baby with this bitch loudly crying faceloudly crying face ,not-hate
1439,0,here is what americans think about immigration via  ,not-hate
1440,1,this crap will not stop until we  buildthewall  deportthemall  noamnesty  nodaca  nomore ,hate
1441,0, sturgeon wants to give refugees the right to vote. talk about changing demographics to get you elected. ,not-hate
1442,1, no its for women who are being a fucking bitch ,hate
1443,1,but let us blame the women for being in the military in the first place eh you fucking cunt smear ,hate
1444,1,  no rian   refugees must moved away from each country in world. ,hate
1445,1,"why daily 5000 refugees come from eritrea ? first they want a better life, second the military service there needs long. they are 80   accepted in the eu, which is wrong, because the only can come if they pay 8000 â‚¬ for illigal coorruption help. ",hate
1446,0,"pentagon officials will house nearly 20,000 migrant children on military bases  somebody close tell trump to kick mexico awake. 300 million aid will vanish fast... ",not-hate
1447,0,i had a nightmare last night that my 1 yo child had been taken by immigration and i had not seen him for months... it was just a dream and i do not have children.. woke up heartbroken for the immigrant mothers who are living this nightmare in real time broken heartbroken heart ,not-hate
1448,1,ðÿ‡¦ðÿ‡¹austria  '‘˜jesus said give to men in need’  refugee wants austrians to share money and homes with migrants'no go back to your third world shithole. you are not entitled to make austria your home. ,hate
1449,0,morgue acquires more freezers after huge increase in immigrant crossing deaths ,not-hate
1450,1, “i want women to have equal rights” ... unless you do not fit my exact definition of how a woman should be then you are a hoe ,hate
1451,0,my mum and dad fired me when i was 2. did not make me bitter and twisted the fucking slag who are gay cunts  theapprentice… ,not-hate
1452,0,I am the nicest fucking person but if you come at me calling me a slut and such for having an opinion i will be a bitch to you. not sorry. ,not-hate
1453,0," i did not see any hysterical women, did you?. how mysoginist of her. ",not-hate
1454,0,  now there is a point to ponder. why not indeed. maybe because there is an agenda here and it has nothing to do with helping anyone. and a lot to do with destroying the west. ,not-hate
1455,0,"i look in her eyes, and  it is clear the girl are not here. she is already in 1st class on the mothership. bitch! give me that damn watchtower! ",not-hate
1456,0, shut the fuck up you infected pussy fungus. ,not-hate
1457,0,weekends vs weekdays ,not-hate
1458,1,some absolute skank of a girl out there trying to because trouble. not happening love.. i show my girl every message a girl sends me ,hate
1459,1,  someone tell the hysterical woman that the last time cam was without benjamin he won league mvp. ,hate
1460,1,same for all immigrants who wants to change our country or came here for free stuff. go the hell home and change your your country and get free stuff there! the benefits in usa are paid for you.s.citizens they are not free we work our butts off for our kids and fellow citizens not you🇺🇸 ,hate
1461,1, bitch ass who are ass motherfucker ,hate
1462,0,"1. who said I am lying to them?2. who said I am fucking them?3. how are you real based off a minute analysis that obviously lacks context and sincerity?shut the fuck up, my nigga. ",not-hate
1463,0,                    ,not-hate
1464,1,"cory booker is lost in the sauce. you and bill maher want a failed economy, ms 13 gangs, criminal immigrants mexicans, drugs to support your lifestyle, and no security, no safety, illegal criminals, and open borders. this loser is another jv obama.    ",hate
1465,0,400 migrants storm border and  attack security forces to get into spain's north african enclave ,not-hate
1466,0,"the mountainjunkie r.messner says, he is not a german or austrian. he can climb, but this monkeys can also do. the leftgreen strolls in southtyrol with cancler merkel through the mountains and like to make an europa for refugees  sorosplan . ",not-hate
1467,0,immigrant team members winning on behalf of america.   immigrantsmakeamericagreat ,not-hate
1468,0,daily migrant invasions   migrant  buildthewall  illegal  trespassers  sendthemback ,not-hate
1469,1,"  you are todays saibaba,lord krishna,god ram plz help me or i will commit suicide ",hate
1470,0,"bitches be havin no education,no job,no house and still got the nerves to say all these niqqas want is pussy buh bitch wtf!! do yo hav?face with tears of joyface with tears of joyface with tears of joy ",not-hate
1471,1,do not be a dick when you rate businesses. 5 stars always for good work  4 is bad  3 is very bad  2 is abysmally bad  1 star is satan. ,hate
1472,0,"in stretch of arizona border, migrant families keep coming   ",not-hate
1473,0,"inspired by everything from perceptual psychology to hip hop,  ​alumnus   '13  made his creative passions a reality despite the hardships he went through as a child of immigrant parents. full story here    bebaruch  baruchpride ",not-hate
1474,0,one third of 214 arrested ms 13 gangsters were 'unaccompanied alien children'   breitbart  enddaca noamnesty buildthewall protectamerica enforceuslaws keepamericanssafe ,not-hate
1475,1,   if you come into a thread all  notallmen you just confirm that we are trash. do not be so fragile. ,hate
1476,0,correct me if I am wrong but do not all you bitches want to be mermaids? how come no stink on social media for the mermaid emoji then? ,not-hate
1477,1,bitches was in the 6th grade getting driven home from school by their boyfriends looking back at their who are ways mad at game. ,hate
1478,0,funny trump has not had any trouble getting visas for his immigrant labor at his clubs ,not-hate
1479,0,watch  german women say migrants rape women because it is allowed under islamic culture   free speech time    ,not-hate
1480,1," halloweencostumeideas kim kardashian's vagina... in other words, ground beef. ",hate
1481,1,   skyrocketing rapes in sweden that correlate with increased immigration? 2000+ women raped on new years by migrants in cologne? paris becoming littered with tent cities? acid attacks and ethnic clusters in london? none ,hate
1482,1, bitch fuck you too then loudly crying facedouble exclamation mark️that is why i hope all your teeth fall out who are ,hate
1483,1,"african migrants are painting their faces white to stop israel from deporting them.write to the  ,  and   and urge them to intervene immediately and to shut down the israeli embassy in south africa immediately!  blacklivesmatter ",hate
1484,0,illegal alien in upstate ny allegedly raped young girl  securetheborder  familyvalues ,not-hate
1485,1,"after its deal with turkey to stop afghan, iraqi, syrian and other refugees from reaching the european union, what can the eu do to reverse turkey's refugee abuses? find out at the european parliament in brussels at 12 30 pm on 20 june  worldrefugeeday@hrw ",hate
1486,0,"nrc in odisha, but what is the homework ? ",not-hate
1487,0,"while sweden wait for 300,000 new muslim migrants, islam radicalism spikes ",not-hate
1488,0, I am tryna fucking get like you hoe ,not-hate
1489,0,what is up bitch ass bitches and skank ass skanks ,not-hate
1490,1,bjp leaders want  rohingya refugees deported from  india due fear that they have been exploited by  pakistan terror groups          ,hate
1491,0,  really do tell! hysterical? strange tweet you got there. hysterical is supporting pos  4… ,not-hate
1492,0,looks like uk population will be increased by 300 million if us immigrants forced to go home!  stopbrexit  fbpe  brexit  guyverhofstadt  waton  barnier ,not-hate
1493,0,“we can not go home”  what does peace mean for  eritrea’s refugees? ,not-hate
1494,0, of course not all men!!! that is not the problem! women do not stop being abused by creeps just beca… ,not-hate
1495,0,un says libya recovered some 100 bodies of migrants in 2018 ,not-hate
1496,0, you tried to spazz out on me too who are for waking your narcoleptic ass up thinking face ,not-hate
1497,1,tryin to send that bitch back to her maker and if you got a daughter older than 15 I am about to rape her take her... right there in front of you dmx ,hate
1498,1,protests have been ongoing in  bangladesh  refugee camps against repatriate of  rohingya who fled deadly persecution in  myanmar        ,hate
1499,0," she has done great harm to country by facilitating muslims migration from bangladesh,nepal etc ",not-hate
1500,1,ebola heroes to protest over migrants being denied nhs healthcare ,hate
1501,0,'cunt again? it was odd how men like suggs used that word to demean women when it was the only part of a woman they valued.' ,not-hate
1502,0,ðÿ‡ªðÿ‡¸spain  'spain sets up migrant command center amid summer surge in arrivals'very disappointed in that great country. they are actively giving away their country. ,not-hate
1503,1,"machete wielding nigerians wage war in italian city  blood flows in the streets of ferrara, italy, as nigerian migrants wage war with machetes, axes and knives, local media reports ",hate
1504,1," yes, why did not hussein take care of  nodaca instead of unlawful keep it going, allow illegal aliens to pour into usa bringing muslims in the middle of the night. called isis ""isil"" take pallets of cash to our enemies, trevon could be my s ",hate
1505,1,did you know?government statistics of crimes committed by illegalsillegals comprise 7  of populationillegals account for72  of all drug possession33and of all money laundering29  of all drug trafficking22  of all federal murders18 of all frauds nodaca ,hate
1506,1,"how every man saying not all men, but every woman been sexually assaulted.... ",hate
1507,0,why “undocumented immigrant” is wrong  via   illegalaliens ,not-hate
1508,0," I would curse the person who called them a slut, call them a cunt and tell them to leave them alone. ",not-hate
1509,0,he was born in the former soviet union and has lived the american dream. now russian immigrant dimitri shein is seeking the democratic nod for a us house seat in alaska. ,not-hate
1510,0,  revenge on kieran why because he has found real love with some one else. possessions can be replaced.showing your true colours at last. what you have put y0ur exes through your children through your poor mum. std alert get checked guys ,not-hate
1511,0,"so what we are saying cathy .... is white genocide is a crime, not a policy optionpolish mp  our country is safe because we did not accept illegal immigrantshttps   t.co lgn8jaahftaccess to white people is not a human righthttps   t.co c0ghvd6imb ",not-hate
1512,1,dems are fighting like hell for illegal immigrants invaders now look what has happened to this little 11 year old child. dems you should resign from office now. you hate america and us americans  maga  ,hate
1513,0,"when a person applies for assistance, department of health and human services reviews application and either grants or denies this assistance. if ""immigrants"" are using the  ""welfare"" they were granted... did the  put  logic in a cage too? ",not-hate
1514,0,"unlike that useless obama, president trump reinstates iran sanctions, slams 'horrible' nuclear deal president trump on monday renewed sanctions on iran as he followed through on vows to unravel the obama era nuclear deal with tehran. ",not-hate
1515,0, i would not put my wm on it if i did not ,not-hate
1516,0,when someone takes a post too seriously and writes an essay in the comments ,not-hate
1517,0,I am about to end up fighting this bitch fr !! you getting on my nerves lil hoe !! ,not-hate
1518,1,scum bag piece of trash.  buildthatwall ,hate
1519,1,drooling facei need a bitch that is gon pay all my bills i do not like broke women nauseated facelitter in bin signface with medical masklitter in bin signsneezing face ,hate
1520,1,"by making it a muslim man's right to rape non  muslim women and children. normalize it, and remove the outrage. ",hate
1521,1,i guess i was a cunt to a woman who was flirting with our married friend  wife is put of town.  she knows he is married etc.. good. ,hate
1522,0,looooooooool i can not believe ‘ben wotts’ aka dick head fuck boy send me a pic of his hairy ass hole n asked me to peg him.. weird cunt rolling on the floor laughingrolling on the floor laughingrolling on the floor laughing ,not-hate
1523,0, fridaymotivation  maga  buildthatwall barack obama  we can not just put walls up all around america. walls do not keep out threats like terrorism or disease.reality  ,not-hate
1524,1,"what about the tibetan, burmese, tamil, chakma, etc refugees in india? what about the baluchs  originally from baluchistan, pakistan , who are staying in the muslim dominated mumbra area in the mumbai metropolitan region?there should be an equal law for all the indians, is not? ",hate
1525,0,how coffee grounds turned firewood could be a lifeline for refugees ,not-hate
1526,0, buildthatwall  meritbased get the illegal situation under control. illegal is illegal.  maga  americafirst  backtheblue  ice  respect ,not-hate
1527,1,bro gay marriage is legal now that means if one of my friends is ever an illegal immigrant then all we got to do is get married and they will get their papers ,hate
1528,0, in this full length fur coat calling this girl a who are face with tears of joyface with tears of joyface with tears of joyface with tears of joy bad bitch ,not-hate
1529,1,"italy says france, malta agreed to host some rescued migrants ",hate
1530,0, but how can they be raped if no men are there to rape them? ,not-hate
1531,1," i will not deny someone right to be a anchovy kunt eater if that is what they want, but do not think you will… ",hate
1532,0,"these hysterical women would benefit from listening to  women should learn to control their emotional, irrational female side the way men have learned to control their aggressive, sexual nature. men are quite obviously the more evolved of the sexes in this regard. ",not-hate
1533,1," can you please stfu and stop lecturing your colleagues, you sound like someone doing a fake lady plantation owner accent. pussy. ",hate
1534,0,"yes, the msm and others would have us believe that no refugees have committed any crimes  but the evidence is... ",not-hate
1535,1,"this makes me cry and yet we still let them in, trump is trying to stop them but the demoncrates are trying to stop him.  trumphasmyvotein2020!!! let us go trump!!!  buildthatwall  kickthemout  stopthemnow!!!! ",hate
1536,1,more than 600 migrants force entry into spain's african exclave of ceuta ,hate
1537,0,"certain immigrant groups create the same problems wherever they go, london, new york or melbourne, yet we are told we are all the same, race does not matter and millions of them will not change our societies.  apart from anything else we are being asked to suspend our belief in reality ",not-hate
1538,1,"  citizens across europe need the right to bare arms. as you do in america, no doubt if a mob of migrants were doing this on american soil they would be shot dead. europe has grown soft and we are now paying the price ",hate
1539,1,"in solidarity, germany to take in 50 migrants rescued in med ",hate
1540,0,“the spanish authorities have here made their priorities clear. they would rather inundate their nation with muslim migrants — from this ship that was rejected by italy’s new patriotic government — rather than take care of their own people.” ,not-hate
1541,1,immigrants convicted of felonies and serious misdemeanors should be subject to citizen revocation and deportation. why are we keeping criminals here? ,hate
1542,1,it is the drugs pouring across our southern border that is killing our children and young people. buildthatwall  ,hate
1543,1,when i look at the shit that i post... ,hate
1544,0,"of = traitor, when is he going to prison finally for all of his crimes against the american public ???????????????????    buildthewall  lockthemup  enddaca now !!! ",not-hate
1545,1,"black catolic bishops are against their pope franciscus. they do not want to loose their sheep, which like to go to europe as refugees. in the meantime hypocrises franciscus pray and do not open the st.petersdom for refugees to stay. ",hate
1546,1,hungary is best. never hungary will accept refugees in their homeland. even soros or the eu can make what they want. ,hate
1547,1,when they tell you 'just be yourself' so you show them what a piece of shit you really are... ,hate
1548,0,"open future  anti immigration, like pro immigration, is a legitimate political position via  ",not-hate
1549,0,i hate coming to the city people real life know my car like pussy study yo bitch car weary faceface with tears of joy ,not-hate
1550,1,"refugee status and immigrant status are two different things. refugees do not have to become permanent immigrants, and they can be returned home, once war, the because for their departure, is over. ",hate
1551,0,"i like boobs as much as the next guy, but usually what they are attached to are nagging menstruating fucks!  womensuck ",not-hate
1552,1,anyone who believes that ice needs to be abolished is literally insane!!! buildthatwall  liberalismisamentaldisorder ,hate
1553,1,    when you call for the mass destabilization of white nations by mass non white immigration then silence anyone who opposes that is  antiwhite ,hate
1554,1,her  who tf do you think you are me  ,hate
1555,1,   it is hilarious seeing these  shutitdowndc antifa idiots marching against fascism while waving a communist flag. morons!be a patriot and help  buildthatwall and order bricks today at this  sundayfunday our products ,hate
1556,1,"president and ceo of catholic relief services sean callahan reminds us refugees need our assistance, not our fear.https   t.co fegaavqfau ",hate
1557,0,"they do not need them, i do not need them nor do i require them to enrich my life.  stoptheinvasion  brexit  sodyoueu  nosurrender ",not-hate
1558,1," immigration comes with punishments for our people foodbanks pension cuts ,nhs ,school ,housing problems enough enough ",hate
1559,1,austria is a wonderful country for refugees. here a bill where you can see that socialwelfare also help to get a televisionset for refugees family in styria. ,hate
1560,0,bjp leaders want  rohingya refugees deported from  india due fear that they have been exploited by  pakistan terror groups           ,not-hate
1561,0,"is puppets tried to roll me over three times! one tried to start a fight on the streets, without success. even when i never attacked them, guess I am simply an infidel. some of the first refugees in 1993 also attacked me without reason, so i absolutely know what I am talking about! ",not-hate
1562,1, do not get it pity sturgeon did not help her own homeless am sure bute refugees can swop it for a high rise in glasgow ,hate
1563,1,real old who are slut and granny with thirsty vagina ,hate
1564,1,when you are giving her the smell test to see if it is safe to dive face first between her legs ,hate
1565,0,vodka is my spirit animal ,not-hate
1566,0, i was going to 'like' this comment then saw your profile pic of a bitch who attacked rape victims of… ,not-hate
1567,1, you are a horrible skank that needed to be fired years ago clapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin toneclapping handsmedium dark skin tone  you totally roc… ,hate
1568,0,c'mon everyone re tweet this to spread the word!  womensuck ,not-hate
1569,1,  sometimes women are stupid too! majority of white women voted for a sexist misogynist pig! ,hate
1570,1, block me bitch i love trump you ignorant cunt!!!! ,hate
1571,1,not interested of being a bitch like you face with tears of joy i prefer to be a good cute girl face with stuck out tongue nak melalak melalak sorang sorang ok ,hate
1572,1,meanwhile in the open immigration backlash...italy rejects two more ngo migrant ships  waiting to collect and transport off the coast of libya “they should know that italy no longer wants to be an accomplice in the... ,hate
1573,0,"  yes it does!  rcmp waiting to carry luggage of  illegalmigrants who have no rights to enter  canada they came from a safe countryusa, broke our laws by crossing  illegally so they are not eligible to stay even if ""approved""  d ",not-hate
1574,1,"illegal alien with history of child sexual assault has raped another child   need to put a stop to this! buildthewall  noamnestyever  nodaca  deportthemall  keepamericanssafe in other words, do your job! ",hate
1575,1,marchionne's hometown proud of ailing former fiat chrysler ceo ,hate
1576,0, thanksgrinning face with smiling eyes i do not believe it is a downgrade. she are not got to googly eye. do not talk shit on social media bitch. your pussy smells ,not-hate
1577,1,fox’s “hysterical female” rears her head in this season’s cautionary tale about what happens when men give women too much power.  ahscult ,hate
1578,1, your fucken hot i am hot fuck hard do anything you want to be my slut who are and open your holes you hot slut. we love to fuck ,hate
1579,1,"females *you need to respect women more and stop calling us hoes*lil pump *you such a fucking hoe, i love it*females  *that new kanye and lil pump song is my shit* ",hate
1580,1,"her  i thought i told you.... me  yo you better chill on that attitude, bitch ",hate
1581,1,when you have to work tomorrow and your coworker says 'happy friday' ,hate
1582,0, wwg1wga  spygate  declassifythedocs  stoptheinvasion ,not-hate
1583,1,"I am just sitting on the train, have a hard dick and would like to wank a horny girl on the big tits sweat dropletssweat dropletssweat dropletssweat dropletssweat dropletssweat dropletssweat dropletssweat dropletssweat dropletssweat dropletssweat droplets ",hate
1584,1,do not tell me how you got a bitch drunk an then you took her to the crib to bust her.... sounds like rape to me... ,hate
1585,0,"rt  woman who  accused nelly of  rape wants to drop charges. october 14, 2017 at 08 27am  ussupportllc jason j wat… ",not-hate
1586,0, dems use  feminist and  muslims and  blacklivesmatter  aka militant  nationofislam extremist  and  nfl as insurgents for  communist revolution  half of usa muslims immigrated under  obama=no  daca  amnesty  nodaca  boycottnfl  boycottnflsponsors  boycottthenfl ,not-hate
1587,1,"norway  migrant quality, not quantity....""based on the idea that the welfare state has limited resources 1  immigration must be limited.""https   t.co tgumbymdn6 ",hate
1588,1,"my favorite thing to hear is 'too deep, too deep' right before i go deeper ",hate
1589,0, i say you hate women because you call me a tranny cunt constantly ,not-hate
1590,0,greek paralympian scheme gives new hope to refugee children ,not-hate
1591,0,"new zealand is a country built on immigration. while some may call it as ""the elephant in the room"", immigration has always proven to be an asset for nz employers.congratulations to our client dinu fabian on getting his skilled migrant residence approved! braingainnewzealand ",not-hate
1592,0,“i love you” first of all bitch we all know that is a lie with your who are mouth and your floppy wiener ,not-hate
1593,1,victor d. hanson  the 4 groups that benefit from illegalâ immigration ,hate
1594,0,an honour to meet so many dedicated aid workers here. this is mitun from  who would recently attended training on child protection provided by  building up specialist refugee protection expertise within national ngos is part of our work here.  aidworks  rohingya ,not-hate
1595,0,   was i imagining the flap over 'hysterical' because it connected women towa… ,not-hate
1596,0,  well answer the question?!?! did you get a dick? ,not-hate
1597,0,"they have literally written that their degradation of women is what all men want, so someone go 'not all men' them wh… ",not-hate
1598,0,  and since you love trials and false equivalency between athletes and protecting women how about this one duke lacrosse rape?????? ,not-hate
1599,0,"  can not stand this policy. if not for immigration issue,  is not worth supporting. war with iran will kill off gop for good. ",not-hate
1600,0,"stop smelling those sandwinches you hideous cock, she is escaping to the side ",not-hate
1601,1,aclu files lawsuit seeking details of harford county sheriff's immigration enforcement program ,hate
1602,0,oh god that is so much worse. have a good evening. kbye ,not-hate
1603,0,to hell with the  tories.  sendthemhome ,not-hate
1604,1,if you slow the video down you can see the problem..... yep she is a woman  womensuck ,hate
1605,1,   are kochs and  now the same? ,hate
1606,0,"illegal immigrant accused of raping, impregnating non verbal 13 year old girl ",not-hate
1607,1,"for me, thor in ragnarok climax scene was better than thor at wakanda in  infinitywar. extra points for the immigrant songfireboth scenes were cinematic brilliance though. ",hate
1608,0,violence as 600 migrants storm morocco spain border fence ,not-hate
1609,0,german government mulls taking in ship migrants ,not-hate
1610,1,looks like another girl fucked up another relationship. when are you going to learn ladies? ,hate
1611,0," the who are bitch spoke! stfu melania, melanie , whatever your name is ",not-hate
1612,1,"i honestly despise women who bitch and whine about sexism and equality, yet they are being literally just as bad. ",hate
1613,1, listen fam. if you are a who are you are a who are loudly crying faceloudly crying faceloudly crying faceclearly you miss read my tweet if you thought i was calling every female a who are.but yes hmp ,hate
1614,1, someone tell this immigrant non citizen who can not vote that michelle obama is no longer flotus and was never her flotus  then deport her racists behind back to the congo so she can  resist there !   trump  maga ,hate
1615,1,candace is an in home esl tutor for refugees. watch her story on how she advocates for refugees. donations to our  30kin30days campaign fund programs to advocate and stand for the vulnerable full video on facebook.thanks to  for the video. ,hate
1616,0,bitch shut the fuck up and do not talk about afghanistan ,not-hate
1617,1,i skipped english a few days ago so i did not know about an assignment and this stupid bitch is making fun of me subtlety ,hate
1618,1,"guy  ""i want a girl who is smart. but i also want a girl who is a total and complete slut who are.""me  ""how about a smart slutwhore?"" ",hate
1619,1,stupid dumb bitch i hate stupid dumb bitches like stfu you dumb ass hoe I am so angry that you are dumb and stupid you make no sense look at you talk out of your mouth lmaoo bitch you mad ignorant be quiet because you embarrass yourself sorry you are right i am less intelligent ,hate
1620,1, and you do not even represent women for anything so stop talking and stay in the kitchen and cook and eat ,hate
1621,0,merica as fuck flexed bicepsmedium light skin tone ,not-hate
1622,0,    you are a pussy... stand up or shut up... put you are head above the parapet and make a stance or keep taking the mp wage and stfu x ,not-hate
1623,1," i do not know how you have the audacity to charge extra to eat in, the place is a shit hole  westwoodcross thanet ",hate
1624,0, see it works!  buildthatwall  buildthewall ,not-hate
1625,1, what do you mean by that you cunt? my english is perfect! smiling face with smiling eyes ,hate
1626,0,i want them all deported !! i want my vote to count again !!!  deportthemall  nodaca  noamnesty  buildthedamnwall  usethearmycoreofengineers ,not-hate
1627,1,              please follow back  turnout2018  maga  buildthatwall  kag  draintheswamp ,hate
1628,1,life a hoe but gaw damn shit just so good when you hitting it right ,hate
1629,0,"unhcrðÿ‘‰2016 total of 181436 migrants crossed med to italy.90334 never requested asylum, vanished. italians refer to this as “clandestini.” v4 report refers to it as “hogwash”. italy must stop whining abt “relocation” and start deporting out of europe.  visegrad will help deport ",not-hate
1630,1,"syrian regime set to dispossess massive numbers of refugees of their homes which, according to un  own criteria, means the agency can not facilitate their return to syria ",hate
1631,0,if you are a chick and i followed you back its only because you live close enough to fuck smiling face️ ,not-hate
1632,1,' teaching women how to wear modest clothes and looking unattractive will reduce rape' whaaaaat? ,hate
1633,0,"happy halloween! hope everyone lives up to their full hoe potential tonight! i believe in you, you bust ass super skanks beating heartjack o lantern ",not-hate
1634,0, suck me off upside down and chill? ,not-hate
1635,1,"if you care more about ""refugees"" than your own sons and daughters, you have got some self evaluation to do. ",hate
1636,1,happy 4th of july everyone! ladies do not fuck it up!                   vaginas ,hate
1637,1,thank you so much to  and  for hosting such an amazing event this past weekend! no child should face immigration court w of an attorney by their side and this event helped raise critical awareness for these immigrant and refugee children  kindla  givingkindness ,hate
1638,0,daily mail pulls story about ‘˜migrant infested’  paris suburb after backlash ,not-hate
1639,1,afghan migrant whose deportation was thwarted by 'hero' swedish student was actually sentenced for assault  foxnews ,hate
1640,1,big thank you to irene and ken brasington for their generous donation to last week’s fundraiser immigrant families together which won them this post! two hearts ,hate
1641,0,"we will have representatives at saturday's ""share the journey"" event and facilitating the lunch time refugee... ",not-hate
1642,0, i hate when other women drink the kool  aid. sexual assault and rape is about power and control. tha… ,not-hate
1643,1, illegalimmigration  secureourborders  illegalaliensyes they are protesting  trump at a  gop gathering in... ,hate
1644,1,lml 'no matter what color a girl is she is still a hoe' that is funny. ,hate
1645,1,when you are on a first date and she asks to talk to the manager ,hate
1646,0,real shit like stfu and eat my pussy since you care so much ,not-hate
1647,0,bitch i saw you one time with jonathan idek when and thought 'got to have her' that was before the entire twitter saga ,not-hate
1648,1,  lol... they did not applaud a rape threat.. .how long are you going to ride that shit? ,hate
1649,0,"over 500 refugees have left moria, maybe even more, hard to say exactly.  is full, with more than 200 people. stage 2, on the north shore has received almost 200 as well. humans for humanity is housing over 150. for tonight they have shelters, and then what ? ",not-hate
1650,0,no offense but this big bitch is serving you allllll types of kunt in this picture ,not-hate
1651,1,81.  bozo invites you round for a seemingly harmless sleep over but will spend all night trying to con you into sex or even rape you ,hate
1652,0, battlefield fort ifications  ,not-hate
1653,0, what a shame.  buildthewall  greencardsfordaca  nochainmigration  illegalssenthome get in line  stoptheinvasion   buildthewall  protectamerica ,not-hate
1654,0, you probably ruined all yours. considering you are a woman ,not-hate
1655,1,german police report  100+ germans victimized by migrant crime every dayâž¡ï¸germans 6x more likely to be crime victims by migrants than reverse germany refugeeswelcome culturewars doesntfitthenarrativehttps   t.co ywmkcghviy ,hate
1656,1,if you got to rape a female to get pussy you really should just die ,hate
1657,0,    another reason to support    police officers! voteredtosaveamerica  maga  kag  votered2018  buildthewall  votedemsout  deportillegalaliens  backtheblue  savethechildren great meme by  ,not-hate
1658,1, yo honestly you pussy ! ,hate
1659,1, you made it kunt ,hate
1660,0,michael cohen already exonerated president trump         desperate democrats running out of garbage... ,not-hate
1661,0, haahhahanaha this girl stilllllll goingface with tears of joy 'loner ass no real friends having ass bitch' yasssssssssssperson tipping handmedium skin toneface with tears of joymoney bag ,not-hate
1662,1,  you are 'not all men' as fuck rn dude. i do not have enough characters to explain to you why… ,hate
1663,0,we have reached the point where the us can no longer be considered a safe country for  refugees.  suspendstca ,not-hate
1664,0,this bitch dead flipped a tweet to about rape for attention. i done really seen it all ,not-hate
1665,1,"i mean, yes, women bare the collective shitload of constantly being objectified, and not all men are sexist creepers  all of the time  ",hate
1666,0,us supreme court upholds donald trump's immigration travel ban  for now  via  ,not-hate
1667,0, women do not want to be sacred. that is some patriarchal controlling virgin who are bullshit. ,not-hate
1668,0, you are a fucking nobody. you just take advantage of people that care for you. good on you who are ,not-hate
1669,1,"you mean, some of the asylum seekers are criminals?! whaaaaasaaaaaaaaa?!  liberallogic  closeborders  deportillegalimmigrants  buildthatwall ",hate
1670,1,"every refugee deserves protectionsheltera chance to start overunderwearthanks to  and  pumabodywear, refugee women and girls will be covered when it comes to the last item  ",hate
1671,0,when you let a squirter sit on your face ,not-hate
1672,0,  I am the big dick motherfuckin bitch hoe ,not-hate
1673,1,feminists become radicalized when they refuse to submit to their urges to be subservient to men. it is science... ,hate
1674,1,"ice arrests 225 in ny immigration raids, many with criminal recordshttps   t.co nu5ivyjky4 moreofthisplease  theicemancometh  stoptheinvasion  therearemoreofthemoutthere ",hate
1675,1,"but is it too little, too late, to save europe? rescue ship's ordeal exposes hardening views on migrants in europe via  ",hate
1676,0,"facebook's new political advertising policy denounced by immigrant, civil rights groups a wide range of advocates for immigrants and civil rights groups say facebook’s definition of political advertising has become so broad that they are being prevented … ",not-hate
1677,0," what a skank who are she is, i see she is wearing al sharptons pimp hat, she must be one of his hos. ",not-hate
1678,1, texas is the tipping point  buildthatwall ,hate
